"english","dutch"
"AHB (Automatic High Beam)","AHB (automatisch grootlicht)"
"AHS (Adaptive High-beam System)","AHS (adaptief grootlicht)"
"BSM (Blind Spot Monitor)","BSM (dodehoekbewaking)"
"Hands Free Power Back Door","Handsfree elektrisch bedienbare bagageklep"
"LCA (Lane Change Assist)","LCA (rijstrookassistent)"
"LDA (Lane Departure Alert)","LDA (waarschuwing bij verlaten van rijstrook)"
"LTA (Lane Tracing Assist)","LTA (rijstrookassistent)"
"PCS (Pre-Collision System)","PCS (botswaarschuwingssysteem)"
"PDA (Proactive Driving Assist)","PDA (proactieve rijhulp)"
"PKSB (Parking Support Brake)","PKSB (remmen tijdens parkeren)"
"RCD (Rear Camera Detection)","RCD (detectie met camera achter)"
"RCTA (Rear Crossing Traffic Alert)","RCTA (waarschuwing bij achterlangs kruisend verkeer)"
"RSA (Road Sign Assist)","RSA (verkeersbordherkenning)"
"“Genuine Traction Battery Coolant”","“Genuine Traction Battery Coolant” «originele koelvloeistof voor tractiebatterij»"
"“restricted”","“beperkt”"
"“semi-universal”","“semi-universeel”"
"“SOS” button","“SOS”-knop"
"“SUBARU Super Coolant”","“SUBARU Super Coolant”"
"“SYNC” mode","“SYNC”-modus"
"“universal”","“universeel”"
"“vehicle specific”","“voertuigspecifiek”"
"12-volt battery","12V-batterij"
"12-volt battery-saving function","Spaarfunctie voor de 12V-batterij"
"12-volt battery condition","Staat van de 12V-batterij"
"12-volt battery exterior","Buitenkant van de 12V-batterij"
"12-volt battery precautions","Voorzorgsmaatregelen voor de 12V-batterij"
"2WD models","Modellen met tweewielaandrijving"
"4WD operation status","4WD-werkingsstatus"
"4WD operation status display","Weergave 4WD-werkingsstatus"
"A/C","Airco"
"A/C Auto switch operation","Automatische overschakeling van airco"
"ABS warning light","ABS-waarschuwingslampje"
"AC","AC"
"AC charging","AC-laden"
"AC charging cable","AC-laadkabel"
"AC charging cable types","Typen AC-laadkabel"
"AC charging connector lock function","Vergrendelfunctie van de AC-laadaansluiting"
"AC charging electricity","AC-laadstroom"
"AC charging inlet","AC-laadingang"
"ACC mode","ACC-modus"
"Acceleration setting","Acceleratie-instelling"
"Accelerator status","Status van het gaspedaal"
"Acoustic vehicle alerting system","Akoestisch voertuigwaarschuwingssysteem"
"Active Cornering Assist","Active Cornering Assist"
"Active steering function","Actieve stuurfunctie"
"Adaptive High-beam System","adaptief grootlicht"
"Adaptive High-beam System switch","Schakelaar voor het adaptieve grootlicht"
"adatvedelem@toyota-ce.com","adatvedelem@toyota-ce.com"
"Adding washer fluid","Ruitensproeiervloeistof bijvullen"
"Adjustable shoulder anchor","Verstelbare schoudergordelklem"
"Adjusting the mirror angle","De spiegel verstellen"
"Adjusting the seats","De stoelen afstellen"
"Adjusting the steering wheel and mirrors","Afstelling van stuur en spiegels"
"Adjustment precautions","Voorzorgsmaatregelen voor het afstellen"
"Adjustment procedure","Afstelprocedure"
"Aerosol cans","Spuitbussen"
"After changing a fuse","Na het vervangen van een zekering"
"After charging","Na het opladen"
"After charging is complete","Nadat het opladen is voltooid"
"After DC charging","Na het DC-laden"
"after reset","Na reset"
"after start","Na starten"
"AHB indicator","AHB-indicatielampje"
"AHS indicator","AHS-indicatielampje"
"Air conditioner filter","Aircofilter"
"Air conditioning","Airco"
"Air conditioning compressor","Aircocompressor"
"Air conditioning controls","Bedieningselementen voor de airco"
"Air conditioning filter","Aircofilter"
"Air conditioning refrigerant","Koudemiddel voor airconditioning"
"Air conditioning system","Aircosysteem"
